celeb_id,celeb_name,name,gender,birth_year,agency
이선균_original,이선균_original,이선균_original,,,
이세영_original,이세영_original,이세영_original,,,
이수근_original,이수근_original,이수근_original,,,
이승기_original,이승기_original,이승기_original,,,
이영애_original,이영애_original,이영애_original,,,
이영자_original,이영자_original,이영자_original,,,
이요원_original,이요원_original,이요원_original,,,
이정재_original,이정재_original,이정재_original,,,
이종석_original,이종석_original,이종석_original,,,
이준기_original,이준기_original,이준기_original,,,
이특_original,이특_original,이특_original,,,
임수정_original,임수정_original,임수정_original,,,
장도연_original,장도연_original,장도연_original,,,
장동건_original,장동건_original,장동건_original,,,
재현_original,재현_original,재현_original,,,
쟈니_original,쟈니_original,쟈니_original,,,
전여빈_original,전여빈_original,전여빈_original,,,
전지현_original,전지현_original,전지현_original,,,
정국_original,정국_original,정국_original,,,
정연_original,정연_original,정연_original,,,
정우성_original,정우성_original,정우성_original,,,
정유미_original,정유미_original,정유미_original,,,
정재영_original,정재영_original,정재영_original,,,
정준하_original,정준하_original,정준하_original,,,
정해인_original,정해인_original,정해인_original,,,
제니_original,제니_original,제니_original,,,
제시카_original,제시카_original,제시카_original,,,
제이홉_original,제이홉_original,제이홉_original,,,
조보아_original,조보아_original,조보아_original,,,
조세호_original,조세호_original,조세호_original,,,
조승우_original,조승우_original,조승우_original,,,
조인성_original,조인성_original,조인성_original,,,
조정석_original,조정석_original,조정석_original,,,
조진웅_original,조진웅_original,조진웅_original,,,
주원_original,주원_original,주원_original,,,
지드래곤_original,지드래곤_original,지드래곤_original,,,
지민_original,지민_original,지민_original,,,
지수_original,지수_original,지수_original,,,
지젤_original,지젤_original,지젤_original,,,
지창욱_original,지창욱_original,지창욱_original,,,
지효_original,지효_original,지효_original,,,
진_original,진_original,진_original,,,
쯔위_original,쯔위_original,쯔위_original,,,
차승원_original,차승원_original,차승원_original,,,
차은우_original,차은우_original,차은우_original,,,
찬열_original,찬열_original,찬열_original,,,
채영_original,채영_original,채영_original,,,
